country;degree_centrality;vulnerability;exportation_strength;hubness;period
UA;0,02;0,0;0,0;0,38;202204
TH;0,04;0,0;0,0;0,47;202204
SG;0,02;0,0;0,0;0,42;202204
HR;0,02;0,98;0,0;0,42;202204
ID;0,02;0,0;0,0;0,42;202204
AU;0,02;0,0;0,0;0,42;202204
NL;0,8;0,45;0,1;0,71;202205
DE;1,09;0,3;0,16;0,8;202205
CN;0,29;0,0;0,1;0,58;202205
FR;0,57;0,61;0,05;0,62;202205
BE;0,5;0,66;0,06;0,6;202205
IT;0,77;0,5;0,05;0,67;202205
PL;0,54;0,71;0,04;0,6;202205
AT;0,34;0,79;0,02;0,55;202205
CZ;0,34;0,82;0,03;0,54;202205
US;0,18;0,0;0,06;0,54;202205
ES;0,48;0,64;0,04;0,6;202205
CH;0,16;0,0;0,02;0,53;202205
GB;0,16;0,0;0,04;0,53;202205
IE;0,21;0,86;0,01;0,51;202205
NO;0,12;0,0;0,02;0,51;202205
RU;0,23;0,0;0,03;0,55;202205
PT;0,14;0,91;0,01;0,5;202205
HU;0,29;0,84;0,01;0,53;202205
SE;0,36;0,79;0,02;0,54;202205
DK;0,18;0,88;0,01;0,49;202205
RO;0,16;0,88;0,0;0,5;202205
SK;0,2;0,89;0,01;0,47;202205
AZ;0,02;0,0;0,0;0,41;202205
JP;0,07;0,0;0,01;0,5;202205
TR;0,12;0,0;0,01;0,51;202205
FI;0,14;0,91;0,0;0,48;202205
DZ;0,05;0,0;0,01;0,42;202205
TW;0,04;0,0;0,0;0,47;202205
IN;0,11;0,0;0,01;0,51;202205
ZA;0,04;0,0;0,0;0,47;202205
SG;0,02;0,0;0,0;0,45;202205
KR;0,09;0,0;0,01;0,5;202205
SI;0,11;0,93;0,0;0,48;202205
BR;0,07;0,0;0,01;0,5;202205
VN;0,04;0,0;0,0;0,47;202205
LY;0,02;0,0;0,0;0,41;202205
MY;0,04;0,0;0,0;0,47;202205
MA;0,04;0,0;0,0;0,39;202205
GR;0,09;0,91;0,0;0,48;202205
SA;0,05;0,0;0,0;0,46;202205
NG;0,05;0,0;0,0;0,43;202205
LU;0,05;0,96;0,0;0,46;202205
MX;0,02;0,0;0,0;0,45;202205
IQ;0,05;0,0;0,0;0,42;202205
BG;0,07;0,96;0,0;0,46;202205
TH;0,04;0,0;0,0;0,47;202205
LT;0,05;0,96;0,0;0,46;202205
LV;0,02;0,98;0,0;0,32;202205
BD;0,02;0,0;0,0;0,45;202205
UA;0,02;0,0;0,0;0,38;202205
AU;0,02;0,0;0,0;0,42;202205
KZ;0,02;0,0;0,0;0,45;202205
HR;0,04;0,96;0,0;0,47;202205
IL;0,02;0,0;0,0;0,34;202205
CA;0,02;0,0;0,0;0,38;202205
ID;0,02;0,0;0,0;0,42;202205
QV;0,02;0,0;0,0;0,35;202205
NL;0,81;0,44;0,1;0,71;202206
DE;1,09;0,3;0,15;0,81;202206
CN;0,31;0,0;0,11;0,59;202206
BE;0,5;0,67;0,06;0,61;202206
FR;0,67;0,52;0,05;0,65;202206
PL;0,57;0,69;0,04;0,61;202206
IT;0,8;0,48;0,05;0,69;202206
AT;0,31;0,81;0,02;0,56;202206
US;0,19;0,0;0,06;0,55;202206
CZ;0,33;0,83;0,03;0,54;202206
ES;0,56;0,57;0,04;0,63;202206
CH;0,15;0,0;0,02;0,53;202206
NO;0,11;0,0;0,02;0,49;202206
GB;0,15;0,0;0,03;0,53;202206
RU;0,22;0,0;0,03;0,56;202206
PT;0,19;0,87;0,01;0,52;202206
HU;0,31;0,81;0,01;0,53;202206
SE;0,39;0,78;0,02;0,56;202206
IE;0,22;0,89;0,02;0,53;202206
DK;0,19;0,87;0,01;0,49;202206
SK;0,2;0,89;0,01;0,5;202206
RO;0,19;0,87;0,01;0,52;202206
DZ;0,06;0,0;0,01;0,44;202206
TR;0,15;0,0;0,01;0,53;202206
JP;0,07;0,0;0,01;0,5;202206
AZ;0,02;0,0;0,0;0,41;202206
BR;0,09;0,0;0,01;0,5;202206
FI;0,13;0,93;0,0;0,47;202206
NG;0,06;0,0;0,0;0,45;202206
TW;0,04;0,0;0,0;0,47;202206
MY;0,04;0,0;0,0;0,47;202206
IN;0,11;0,0;0,01;0,52;202206
VN;0,04;0,0;0,0;0,47;202206
KR;0,11;0,0;0,01;0,52;202206
SI;0,11;0,93;0,0;0,49;202206
LY;0,02;0,0;0,0;0,41;202206
ZA;0,02;0,0;0,0;0,45;202206
SA;0,09;0,0;0,01;0,49;202206
GR;0,11;0,89;0,0;0,5;202206
MA;0,04;0,0;0,0;0,41;202206
LU;0,04;0,96;0,0;0,46;202206
MX;0,04;0,0;0,0;0,47;202206
BG;0,09;0,94;0,0;0,46;202206
CA;0,04;0,0;0,0;0,47;202206
IQ;0,04;0,0;0,0;0,42;202206
KZ;0,04;0,0;0,0;0,46;202206
AU;0,02;0,0;0,0;0,42;202206
TH;0,04;0,0;0,0;0,47;202206
LT;0,06;0,96;0,0;0,47;202206
UA;0,02;0,0;0,0;0,38;202206
HR;0,02;0,98;0,0;0,41;202206
AE;0,02;0,0;0,0;0,4;202206
LV;0,02;0,98;0,0;0,32;202206
BD;0,02;0,0;0,0;0,45;202206
SG;0,02;0,0;0,0;0,38;202206
NL;0,83;0,41;0,1;0,71;202207
DE;1,09;0,3;0,15;0,81;202207
CN;0,33;0,0;0,11;0,59;202207
FR;0,69;0,5;0,05;0,66;202207
BE;0,48;0,67;0,05;0,59;202207
PL;0,57;0,67;0,04;0,61;202207
IT;0,87;0,41;0,06;0,72;202207
AT;0,28;0,85;0,02;0,53;202207
NO;0,15;0,0;0,03;0,51;202207
US;0,17;0,0;0,06;0,53;202207
CZ;0,33;0,81;0,02;0,53;202207
ES;0,52;0,61;0,03;0,61;202207
CH;0,15;0,0;0,02;0,52;202207
GB;0,17;0,0;0,04;0,53;202207
RU;0,19;0,0;0,03;0,54;202207
PT;0,17;0,89;0,01;0,51;202207
HU;0,35;0,8;0,01;0,54;202207
IE;0,22;0,89;0,01;0,53;202207
SE;0,37;0,78;0,01;0,54;202207
AZ;0,02;0,0;0,0;0,42;202207
RO;0,2;0,87;0,01;0,51;202207
DK;0,15;0,91;0,01;0,48;202207
TR;0,13;0,0;0,01;0,52;202207
SK;0,19;0,91;0,01;0,49;202207
DZ;0,07;0,0;0,01;0,48;202207
JP;0,09;0,0;0,01;0,5;202207
BR;0,09;0,0;0,01;0,51;202207
FI;0,15;0,91;0,0;0,48;202207
ZA;0,04;0,0;0,0;0,47;202207
BG;0,07;0,96;0,0;0,46;202207
GR;0,11;0,91;0,0;0,5;202207
IN;0,11;0,0;0,01;0,51;202207
TW;0,04;0,0;0,0;0,47;202207
SA;0,07;0,0;0,01;0,46;202207
VN;0,06;0,0;0,0;0,49;202207
MY;0,04;0,0;0,0;0,47;202207
KR;0,11;0,0;0,01;0,51;202207
SI;0,11;0,93;0,0;0,49;202207
NG;0,02;0,0;0,0;0,38;202207
QA;0,06;0,0;0,0;0,44;202207
KZ;0,04;0,0;0,0;0,47;202207
LU;0,04;0,96;0,0;0,46;202207
IQ;0,06;0,0;0,0;0,46;202207
LT;0,06;0,96;0,0;0,47;202207
LV;0,02;0,98;0,0;0,32;202207
CA;0,04;0,0;0,0;0,47;202207
MA;0,02;0,0;0,0;0,38;202207
QV;0,02;0,0;0,0;0,35;202207
LY;0,02;0,0;0,0;0,42;202207
MX;0,04;0,0;0,0;0,47;202207
TH;0,04;0,0;0,0;0,47;202207
UA;0,02;0,0;0,0;0,38;202207
BD;0,02;0,0;0,0;0,45;202207
HR;0,02;0,98;0,0;0,42;202207
AU;0,02;0,0;0,0;0,42;202207
NL;0,81;0,44;0,1;0,71;202208
DE;1,04;0,33;0,14;0,78;202208
CN;0,32;0,0;0,12;0,58;202208
BE;0,51;0,63;0,05;0,61;202208
NO;0,14;0,0;0,04;0,51;202208
FR;0,61;0,56;0,05;0,63;202208
PL;0,54;0,7;0,04;0,6;202208
AT;0,3;0,82;0,02;0,53;202208
US;0,19;0,0;0,06;0,55;202208
IT;0,72;0,49;0,04;0,67;202208
CZ;0,3;0,84;0,02;0,52;202208
